Source Name,Impressions,Clicks,CTR,Leads,CVR,EPM,EPC,EPL,Earnings
Total:,3776,264,6.99%,89,33.71%,$132.94 ,$1.90 ,$5.64 ,$501.98 
1830207,2,2,100.00%,1,50.00%,"$32,600.00 ",$32.60 ,$65.20 ,$65.20 
1836569,3,0,0.00%,1,0.00%,"$17,366.67 ",$0.00 ,$52.10 ,$52.10 
1830869,1,1,100.00%,1,100.00%,"$52,000.00 ",$52.00 ,$52.00 ,$52.00 
1832164,1,1,100.00%,1,100.00%,"$49,600.00 ",$49.60 ,$49.60 ,$49.60 
1832708,3,3,100.00%,1,33.33%,"$14,133.33 ",$14.13 ,$42.40 ,$42.40 
1830021,5,5,100.00%,1,20.00%,"$7,800.00 ",$7.80 ,$39.00 ,$39.00 
1831849,3,3,100.00%,1,33.33%,"$9,926.67 ",$9.93 ,$29.78 ,$29.78 
1829854,1,1,100.00%,1,100.00%,"$20,000.00 ",$20.00 ,$20.00 ,$20.00 
1835808,4,4,100.00%,1,25.00%,"$4,975.00 ",$4.98 ,$19.90 ,$19.90 
1830268,8,8,100.00%,2,25.00%,"$2,187.50 ",$2.19 ,$8.75 ,$17.50 
1835906,1,1,100.00%,1,100.00%,"$16,000.00 ",$16.00 ,$16.00 ,$16.00 
1833840,1,1,100.00%,1,100.00%,"$14,400.00 ",$14.40 ,$14.40 ,$14.40 
1832953,4,4,100.00%,1,25.00%,"$2,675.00 ",$2.68 ,$10.70 ,$10.70 
1833636,3,3,100.00%,1,33.33%,"$2,766.67 ",$2.77 ,$8.30 ,$8.30 
1835228,1,1,100.00%,1,100.00%,"$7,200.00 ",$7.20 ,$7.20 ,$7.20 
1831492,1,1,100.00%,1,100.00%,"$7,200.00 ",$7.20 ,$7.20 ,$7.20 
1831749,6,6,100.00%,1,16.67%,$533.33 ,$0.53 ,$3.20 ,$3.20 
1836385,5,5,100.00%,1,20.00%,$580.00 ,$0.58 ,$2.90 ,$2.90 
1829328,3,3,100.00%,1,33.33%,$800.00 ,$0.80 ,$2.40 ,$2.40 
1832532,2,2,100.00%,1,50.00%,"$1,060.00 ",$1.06 ,$2.12 ,$2.12 
1837526,2,2,100.00%,1,50.00%,$960.00 ,$0.96 ,$1.92 ,$1.92 
1836693,1,1,100.00%,1,100.00%,"$1,600.00 ",$1.60 ,$1.60 ,$1.60 
1834366,1,1,100.00%,1,100.00%,"$1,600.00 ",$1.60 ,$1.60 ,$1.60 
1833357,6,6,100.00%,1,16.67%,$223.33 ,$0.22 ,$1.34 ,$1.34 
1834148,3,3,100.00%,1,33.33%,$433.33 ,$0.43 ,$1.30 ,$1.30 
1833107,3,3,100.00%,1,33.33%,$433.33 ,$0.43 ,$1.30 ,$1.30 
1830933,4,4,100.00%,1,25.00%,$325.00 ,$0.33 ,$1.30 ,$1.30 
1830848,3,3,100.00%,1,33.33%,$433.33 ,$0.43 ,$1.30 ,$1.30 
1835272,1,1,100.00%,1,100.00%,"$1,200.00 ",$1.20 ,$1.20 ,$1.20 
1835044,1,1,100.00%,1,100.00%,"$1,200.00 ",$1.20 ,$1.20 ,$1.20 
1833751,1,1,100.00%,1,100.00%,"$1,200.00 ",$1.20 ,$1.20 ,$1.20 
1833245,1,1,100.00%,1,100.00%,"$1,200.00 ",$1.20 ,$1.20 ,$1.20 
1833230,1,1,100.00%,1,100.00%,"$1,200.00 ",$1.20 ,$1.20 ,$1.20 
1833176,1,1,100.00%,1,100.00%,"$1,200.00 ",$1.20 ,$1.20 ,$1.20 
1833157,1,1,100.00%,1,100.00%,"$1,200.00 ",$1.20 ,$1.20 ,$1.20 
